"Account","Trade P&L","Commission & Fees","Net P&L","Trade Count","Winning Trades","Losing Trades","Win %","Lose %","Scratched Trades","Scratched %","Ticks Made","Max Drawdown","Max Drawdown %"
"188076","-870.00","72.00","-942.00","14","3","11","21.43","78.57","0","0.00","0","",""
"CLU5","-170.00","16.00","-186.00","2","1","1","50.00","50.00","0","0.00","0","",""
"ESU5","-200.00","8.00","-208.00","2","0","2","0.00","100.00","0","0.00","0","",""
"Trade Date","Entry Order Number","Entry Buy/Sell","Entry Time","Entry Price","Exit Order Number","Exit Buy/Sell","Exit Time","Exit Price","Trade Life Span (Seconds)","Fill Size","Trade P&L","Commission & Fees","Net P&L","Ticks Made"
"20250805","93098604","S","2025-08-05 09:00:08","6356.25","93098793","B","2025-08-05 09:00:30","6358.50","22.093702","1","-112.50","4.00","-116.50",""
"20250805","93098399","S","2025-08-05 08:59:55","6362.75","93098450","B","2025-08-05 08:59:57","6364.50","1.583677","1","-87.50","4.00","-91.50",""
"GCZ5","-500.00","48.00","-548.00","10","2","8","20.00","80.00","0","0.00","0","",""


