"Account","Trade P&L","Commission & Fees","Net P&L","Trade Count","Winning Trades","Losing Trades","Win %","Lose %","Scratched Trades","Scratched %","Ticks Made","Max Drawdown","Max Drawdown %"
"188076","-2095.00","208.00","-2303.00","27","7","20","25.93","74.07","0","0.00","0","",""
"CLU5","930.00","52.00","878.00","9","7","2","77.78","22.22","0","0.00","0","",""
"Trade Date","Entry Order Number","Entry Buy/Sell","Entry Time","Entry Price","Exit Order Number","Exit Buy/Sell","Exit Time","Exit Price","Trade Life Span (Seconds)","Fill Size","Trade P&L","Commission & Fees","Net P&L","Ticks Made"
"20250804","93057369","B","2025-08-04 09:51:06","6669","93057590","S","2025-08-04 09:51:51","6665","44.850415","1","-40.00","4.00","-44.00",""
"20250804","93057312","B","2025-08-04 09:50:59","6675","93057590","S","2025-08-04 09:51:51","6665","52.087837","1","-100.00","4.00","-104.00",""
"20250804","93040952","S","2025-08-04 08:03:13","6572","93040972","B","2025-08-04 08:03:51","6570","37.957743","2","40.00","8.00","32.00",""
"20250804","93040881","B","2025-08-04 08:00:41","6564","93040945","S","2025-08-04 08:02:57","6575","136.001560","3","330.00","12.00","318.00",""
"20250804","93040874","B","2025-08-04 08:00:39","6564","93040914","S","2025-08-04 08:01:52","6576","72.088311","1","120.00","4.00","116.00",""
"20250804","93040874","B","2025-08-04 08:00:39","6564","93040914","S","2025-08-04 08:01:52","6576","72.087525","1","120.00","4.00","116.00",""
"20250804","93040874","B","2025-08-04 08:00:39","6564","93040896","S","2025-08-04 08:01:23","6573","43.386915","1","90.00","4.00","86.00",""
"20250804","93040847","B","2025-08-04 08:00:00","6558","93040896","S","2025-08-04 08:01:23","6573","82.935739","2","300.00","8.00","292.00",""
"20250804","93040847","B","2025-08-04 08:00:00","6558","93040868","S","2025-08-04 08:00:28","6565","27.568406","1","70.00","4.00","66.00",""
"ESU5","-3025.00","156.00","-3181.00","18","0","18","0.00","100.00","0","0.00","0","",""
"Trade Date","Entry Order Number","Entry Buy/Sell","Entry Time","Entry Price","Exit Order Number","Exit Buy/Sell","Exit Time","Exit Price","Trade Life Span (Seconds)","Fill Size","Trade P&L","Commission & Fees","Net P&L","Ticks Made"
"20250804","93077772","S","2025-08-04 14:59:56","6356.75","93077802","B","2025-08-04 15:00:04","6357.50","7.555795","1","-37.50","4.00","-41.50",""
"20250804","93077772","S","2025-08-04 14:59:56","6356.75","93077802","B","2025-08-04 15:00:04","6357.50","7.574126","4","-150.00","16.00","-166.00",""
"20250804","93077723","B","2025-08-04 14:59:43","6356.50","93077759","S","2025-08-04 14:59:52","6355.50","8.290718","5","-250.00","20.00","-270.00",""
"20250804","93077700","B","2025-08-04 14:59:27","6356.25","93077706","S","2025-08-04 14:59:29","6355.50","1.764611","5","-187.50","20.00","-207.50",""
"20250804","93077645","S","2025-08-04 14:59:00","6355.75","93077689","B","2025-08-04 14:59:16","6355.75","16.308345","5","0.00","20.00","-20.00",""
"20250804","93053676","B","2025-08-04 09:49:09","6342.75","93056949","S","2025-08-04 09:50:42","6340.25","93.511704","4","-500.00","16.00","-516.00",""
"20250804","93053676","B","2025-08-04 09:49:09","6342.75","93056944","S","2025-08-04 09:50:42","6340.25","93.511658","1","-125.00","4.00","-129.00",""
"20250804","93053676","B","2025-08-04 09:49:09","6342.75","93056942","S","2025-08-04 09:50:42","6340.25","93.511611","1","-125.00","4.00","-129.00",""
"20250804","93053676","B","2025-08-04 09:49:09","6342.75","93056938","S","2025-08-04 09:50:42","6340.25","93.511543","1","-125.00","4.00","-129.00",""
"20250804","93053676","B","2025-08-04 09:49:09","6342.75","93056948","S","2025-08-04 09:49:13","6342.50","4.466395","1","-12.50","4.00","-16.50",""
"20250804","93049821","B","2025-08-04 09:15:53","6340.75","93052072","S","2025-08-04 09:17:05","6338.25","72.163003","1","-125.00","4.00","-129.00",""
"20250804","93049821","B","2025-08-04 09:15:53","6340.75","93052070","S","2025-08-04 09:17:05","6338.25","72.162964","1","-125.00","4.00","-129.00",""
"20250804","93049821","B","2025-08-04 09:15:53","6340.75","93052068","S","2025-08-04 09:17:05","6338.25","72.162896","1","-125.00","4.00","-129.00",""
"20250804","93049821","B","2025-08-04 09:15:53","6340.75","93052074","S","2025-08-04 09:16:18","6338.50","25.099476","1","-112.50","4.00","-116.50",""
"20250804","93049821","B","2025-08-04 09:15:53","6340.75","93052075","S","2025-08-04 09:16:14","6338.75","21.440671","4","-400.00","16.00","-416.00",""
"20250804","93041729","S","2025-08-04 08:30:02","6302.75","93041779","B","2025-08-04 08:30:14","6307.00","11.965478","1","-212.50","4.00","-216.50",""
"20250804","93041705","S","2025-08-04 08:29:57","6303.00","93041779","B","2025-08-04 08:30:14","6307.00","16.860085","1","-200.00","4.00","-204.00",""
"20250804","93041695","S","2025-08-04 08:29:54","6302.75","93041779","B","2025-08-04 08:30:14","6307.00","19.325468","1","-212.50","4.00","-216.50",""


