"Account","Trade P&L","Commission & Fees","Net P&L","Trade Count","Winning Trades","Losing Trades","Win %","Lose %","Scratched Trades","Scratched %","Ticks Made","Max Drawdown","Max Drawdown %"
"188076","-1310.00","208.00","-1518.00","38","9","29","23.68","76.32","0","0.00","0","",""
"CLU5","-1980.00","108.00","-2088.00","20","1","19","5.00","95.00","0","0.00","0","",""
"20250808","93281602","S","2025-08-08 08:00:41","6412","93281638","B","2025-08-08 08:01:10","6417","29.446584","3","-150.00","12.00","-162.00",""
"20250808","93281602","S","2025-08-08 08:00:41","6413","93281638","B","2025-08-08 08:01:10","6417","29.446642","2","-80.00","8.00","-88.00",""
"20250808","93281567","S","2025-08-08 08:00:00","6411","93281590","B","2025-08-08 08:00:33","6416","32.799298","2","-100.00","8.00","-108.00",""
"20250808","93281567","S","2025-08-08 08:00:00","6411","93281590","B","2025-08-08 08:00:33","6415","32.799241","1","-40.00","4.00","-44.00",""
"20250808","93281567","S","2025-08-08 08:00:00","6411","93281585","B","2025-08-08 08:00:24","6411","24.134901","1","0.00","4.00","-4.00",""
"20250808","93281567","S","2025-08-08 08:00:00","6411","93281573","B","2025-08-08 08:00:11","6406","10.729474","1","50.00","4.00","46.00",""
"ESU5","-500.00","40.00","-540.00","3","0","3","0.00","100.00","0","0.00","0","",""
"Trade Date","Entry Order Number","Entry Buy/Sell","Entry Time","Entry Price","Exit Order Number","Exit Buy/Sell","Exit Time","Exit Price","Trade Life Span (Seconds)","Fill Size","Trade P&L","Commission & Fees","Net P&L","Ticks Made"
"20250808","93320569","S","2025-08-08 14:59:51","6413.00","93320574","B","2025-08-08 14:59:55","6414.50","4.406230","1","-75.00","4.00","-79.00",""
"20250808","93320569","S","2025-08-08 14:59:51","6413.00","93320574","B","2025-08-08 14:59:55","6414.50","4.406148","4","-300.00","16.00","-316.00",""
"20250808","93283978","S","2025-08-08 08:36:52","6385.25","93284086","B","2025-08-08 08:37:26","6385.75","33.779979","5","-125.00","20.00","-145.00",""
"GCZ5","-30.00","40.00","-70.00","10","3","7","30.00","70.00","0","0.00","0","",""
"Trade Date","Entry Order Number","Entry Buy/Sell","Entry Time","Entry Price","Exit Order Number","Exit Buy/Sell","Exit Time","Exit Price","Trade Life Span (Seconds)","Fill Size","Trade P&L","Commission & Fees","Net P&L","Ticks Made"
"20250808","93317292","S","2025-08-08 13:36:32","3453.9","93317357","B","2025-08-08 13:37:45","3455.1","73.288974","1","-120.00","4.00","-124.00",""
"20250808","93317291","S","2025-08-08 13:36:31","3454.0","93317294","B","2025-08-08 13:37:42","3455.0","70.506677","1","-100.00","4.00","-104.00",""
"20250808","93315932","S","2025-08-08 13:06:30","3457.2","93315940","B","2025-08-08 13:06:45","3459.2","15.252380","1","-200.00","4.00","-204.00",""
"20250808","93315923","S","2025-08-08 13:06:29","3457.7","93315938","B","2025-08-08 13:06:45","3459.0","15.985199","1","-130.00","4.00","-134.00",""
"20250808","93315839","S","2025-08-08 13:05:24","3455.2","93315852","B","2025-08-08 13:05:39","3455.2","15.583782","1","0.00","4.00","-4.00",""
"20250808","93315566","B","2025-08-08 13:02:47","3448.3","93315818","S","2025-08-08 13:05:21","3455.2","153.635964","1","690.00","4.00","686.00",""
"20250808","93315568","B","2025-08-08 13:02:39","3450.9","93315615","S","2025-08-08 13:03:21","3452.4","41.593017","1","150.00","4.00","146.00",""
"20250808","93315553","B","2025-08-08 13:02:30","3452.8","93315558","S","2025-08-08 13:02:35","3449.7","4.770662","1","-310.00","4.00","-314.00",""
"20250808","93315448","B","2025-08-08 13:01:38","3450.8","93315558","S","2025-08-08 13:02:35","3449.7","56.801064","1","-110.00","4.00","-114.00",""
"20250808","93315428","B","2025-08-08 13:01:22","3448.7","93315558","S","2025-08-08 13:02:35","3449.7","73.135199","1","100.00","4.00","96.00",""
"SIU5","1200.00","20.00","1180.00","5","5","0","100.00","0.00","0","0.00","0","",""


