"Account","Trade P&L","Commission & Fees","Net P&L","Trade Count","Winning Trades","Losing Trades","Win %","Lose %","Scratched Trades","Scratched %","Ticks Made","Max Drawdown","Max Drawdown %"
"188076","-1310.00","208.00","-1518.00","38","9","29","23.68","76.32","0","0.00","0","",""
"CLU5","-1980.00","108.00","-2088.00","20","1","19","5.00","95.00","0","0.00","0","",""
"Trade Date","Entry Order Number","Entry Buy/Sell","Entry Time","Entry Price","Exit Order Number","Exit Buy/Sell","Exit Time","Exit Price","Trade Life Span (Seconds)","Fill Size","Trade P&L","Commission & Fees","Net P&L","Ticks Made"
"20250808","93301416","S","2025-08-08 10:33:41","6410","93301424","B","2025-08-08 10:43:23","6420","582.378223","3","-300.00","12.00","-312.00",""
"20250808","93290886","S","2025-08-08 09:15:02","6318","93290909","B","2025-08-08 09:16:00","6325","58.355273","1","-70.00","4.00","-74.00",""
"20250808","93290880","S","2025-08-08 09:15:01","6318","93290901","B","2025-08-08 09:16:00","6325","59.294427","1","-70.00","4.00","-74.00",""
"20250808","93290830","S","2025-08-08 09:14:48","6313","93290845","B","2025-08-08 09:16:00","6325","72.431153","1","-120.00","4.00","-124.00",""
"20250808","93290592","S","2025-08-08 09:13:56","6301","93290674","B","2025-08-08 09:16:00","6325","123.663213","1","-240.00","4.00","-244.00",""
"20250808","93290149","B","2025-08-08 09:11:02","6301","93290161","S","2025-08-08 09:11:51","6285","48.810343","1","-160.00","4.00","-164.00",""
"20250808","93290148","B","2025-08-08 09:11:02","6298","93290165","S","2025-08-08 09:11:46","6287","44.613232","1","-110.00","4.00","-114.00",""
"20250808","93290144","B","2025-08-08 09:11:00","6294","93290174","S","2025-08-08 09:11:11","6289","10.177895","1","-50.00","4.00","-54.00",""
"20250808","93290071","S","2025-08-08 09:10:34","6291","93290137","B","2025-08-08 09:10:59","6292","24.926565","1","-10.00","4.00","-14.00",""
"20250808","93289900","S","2025-08-08 09:09:37","6287","93289936","B","2025-08-08 09:09:48","6309","11.063864","1","-220.00","4.00","-224.00",""
"20250808","93281604","S","2025-08-08 08:00:42","6410","93281639","B","2025-08-08 08:01:10","6417","28.735082","1","-70.00","4.00","-74.00",""
"20250808","93281604","S","2025-08-08 08:00:42","6411","93281639","B","2025-08-08 08:01:10","6417","28.735126","1","-60.00","4.00","-64.00",""
"20250808","93281604","S","2025-08-08 08:00:42","6411","93281639","B","2025-08-08 08:01:10","6417","28.735172","1","-60.00","4.00","-64.00",""
"20250808","93281604","S","2025-08-08 08:00:42","6411","93281639","B","2025-08-08 08:01:10","6417","28.735162","2","-120.00","8.00","-128.00",""
