"Account","Trade P&L","Commission & Fees","Net P&L","Trade Count","Winning Trades","Losing Trades","Win %","Lose %","Scratched Trades","Scratched %","Ticks Made","Max Drawdown","Max Drawdown %"
"188076","-530.00","164.00","-694.00","19","7","12","36.84","63.16","0","0.00","0","",""
"CLU5","1020.00","20.00","1000.00","5","5","0","100.00","0.00","0","0.00","0","",""
"Trade Date","Entry Order Number","Entry Buy/Sell","Entry Time","Entry Price","Exit Order Number","Exit Buy/Sell","Exit Time","Exit Price","Trade Life Span (Seconds)","Fill Size","Trade P&L","Commission & Fees","Net P&L","Ticks Made"
"20250815","93571576","S","2025-08-15 08:00:04","6325","93571580","B","2025-08-15 08:01:26","6302","81.324398","1","230.00","4.00","226.00",""
"20250815","93571576","S","2025-08-15 08:00:04","6325","93571578","B","2025-08-15 08:01:16","6299","71.732357","1","260.00","4.00","256.00",""
"20250815","93571576","S","2025-08-15 08:00:04","6325","93571579","B","2025-08-15 08:01:13","6298","69.070653","1","270.00","4.00","266.00",""
"20250815","93571576","S","2025-08-15 08:00:04","6325","93571581","B","2025-08-15 08:00:59","6314","54.778105","1","110.00","4.00","106.00",""
"20250815","93571576","S","2025-08-15 08:00:04","6325","93571577","B","2025-08-15 08:00:44","6310","39.735373","1","150.00","4.00","146.00",""
"ESU5","-225.00","20.00","-245.00","3","1","2","33.33","66.67","0","0.00","0","",""
"Trade Date","Entry Order Number","Entry Buy/Sell","Entry Time","Entry Price","Exit Order Number","Exit Buy/Sell","Exit Time","Exit Price","Trade Life Span (Seconds)","Fill Size","Trade P&L","Commission & Fees","Net P&L","Ticks Made"
"20250815","93623321","S","2025-08-15 14:59:05","6469.25","93623344","B","2025-08-15 14:59:10","6469.50","4.589158","1","-12.50","4.00","-16.50",""
"20250815","93621047","S","2025-08-15 14:03:30","6471.50","93621156","B","2025-08-15 14:04:31","6473.00","60.904224","3","-225.00","12.00","-237.00",""
"20250815","93584017","B","2025-08-15 09:01:51","6478.50","93584180","S","2025-08-15 09:02:04","6478.75","12.801566","1","12.50","4.00","8.50",""
"NQU5","-1325.00","124.00","-1449.00","11","1","10","9.09","90.91","0","0.00","0","",""
"Trade Date","Entry Order Number","Entry Buy/Sell","Entry Time","Entry Price","Exit Order Number","Exit Buy/Sell","Exit Time","Exit Price","Trade Life Span (Seconds)","Fill Size","Trade P&L","Commission & Fees","Net P&L","Ticks Made"
"20250815","93621291","S","2025-08-15 14:06:07","23779.50","93621314","B","2025-08-15 14:06:15","23781.00","8.252490","1","-30.00","4.00","-34.00",""
"20250815","93621291","S","2025-08-15 14:06:07","23779.50","93621314","B","2025-08-15 14:06:15","23780.75","8.252445","1","-25.00","4.00","-29.00",""
"20250815","93621291","S","2025-08-15 14:06:07","23779.75","93621314","B","2025-08-15 14:06:15","23780.75","8.252506","3","-60.00","12.00","-72.00",""
"20250815","93621291","S","2025-08-15 14:06:07","23779.75","93621314","B","2025-08-15 14:06:15","23780.50","8.252450","1","-15.00","4.00","-19.00",""
"20250815","93621291","S","2025-08-15 14:06:07","23780.00","93621314","B","2025-08-15 14:06:15","23780.50","8.252509","4","-40.00","16.00","-56.00",""
"20250815","93621257","S","2025-08-15 14:05:46","23785.00","93621267","B","2025-08-15 14:05:50","23787.00","4.030177","7","-280.00","28.00","-308.00",""
"20250815","93621257","S","2025-08-15 14:05:46","23785.00","93621258","B","2025-08-15 14:05:48","23782.50","2.040858","3","150.00","12.00","138.00",""
"20250815","93620821","S","2025-08-15 14:00:58","23800.25","93620829","B","2025-08-15 14:01:00","23804.75","1.967385","2","-180.00","8.00","-188.00",""
"20250815","93620821","S","2025-08-15 14:00:58","23800.50","93620829","B","2025-08-15 14:01:00","23804.75","1.967447","5","-425.00","20.00","-445.00",""
"20250815","93620821","S","2025-08-15 14:00:58","23800.50","93620829","B","2025-08-15 14:01:00","23804.50","1.967395","3","-240.00","12.00","-252.00",""
"20250815","93573396","S","2025-08-15 08:31:02","23865.25","93573443","B","2025-08-15 08:31:07","23874.25","4.398076","1","-180.00","4.00","-184.00",""


