"Account","Trade P&L","Commission & Fees","Net P&L","Trade Count","Winning Trades","Losing Trades","Win %","Lose %","Scratched Trades","Scratched %","Ticks Made","Max Drawdown","Max Drawdown %"
"188076","-182.50","68.00","-250.50","14","8","6","57.14","42.86","0","0.00","0","",""
"CLU5","90.00","12.00","78.00","3","3","0","100.00","0.00","0","0.00","0","",""
"Trade Date","Entry Order Number","Entry Buy/Sell","Entry Time","Entry Price","Exit Order Number","Exit Buy/Sell","Exit Time","Exit Price","Trade Life Span (Seconds)","Fill Size","Trade P&L","Commission & Fees","Net P&L","Ticks Made"
"20250811","93332150","S","2025-08-11 08:00:00","6419","93332190","B","2025-08-11 08:00:45","6418","45.570980","1","10.00","4.00","6.00",""
"20250811","93332150","S","2025-08-11 08:00:00","6419","93332190","B","2025-08-11 08:00:45","6418","45.571055","1","10.00","4.00","6.00",""
"20250811","93332150","S","2025-08-11 08:00:00","6419","93332171","B","2025-08-11 08:00:06","6412","6.067124","1","70.00","4.00","66.00",""
"ESU5","-262.50","36.00","-298.50","6","3","3","50.00","50.00","0","0.00","0","",""
"Trade Date","Entry Order Number","Entry Buy/Sell","Entry Time","Entry Price","Exit Order Number","Exit Buy/Sell","Exit Time","Exit Price","Trade Life Span (Seconds)","Fill Size","Trade P&L","Commission & Fees","Net P&L","Ticks Made"
"20250811","93382985","S","2025-08-11 15:00:00","6401.00","93383107","B","2025-08-11 15:01:34","6397.75","94.778396","1","162.50","4.00","158.50",""
"20250811","93340192","S","2025-08-11 09:47:42","6409.75","93350798","B","2025-08-11 09:50:40","6411.75","178.213402","1","-100.00","4.00","-104.00",""
"20250811","93340192","S","2025-08-11 09:47:42","6409.75","93350800","B","2025-08-11 09:50:40","6411.75","178.213364","1","-100.00","4.00","-104.00",""
"20250811","93340192","S","2025-08-11 09:47:42","6409.75","93350803","B","2025-08-11 09:50:40","6411.75","178.213315","4","-400.00","16.00","-416.00",""
"20250811","93340192","S","2025-08-11 09:47:42","6409.75","93350795","B","2025-08-11 09:48:23","6407.50","41.036546","1","112.50","4.00","108.50",""
"20250811","93340192","S","2025-08-11 09:47:42","6409.75","93350791","B","2025-08-11 09:47:49","6408.50","7.397464","1","62.50","4.00","58.50",""
"GCZ5","90.00","12.00","78.00","3","2","1","66.67","33.33","0","0.00","0","",""
"HEV5","-100.00","8.00","-108.00","2","0","2","0.00","100.00","0","0.00","0","",""


